#	Title	The Can Can (The Galop from Orpheus in the Underworld)
#	Source Filename	 Jacques Offenbach - The Can Can (The Galop from Orpheus in the Underworld).xml
0	2	4
2	2	4
4	2	4
6	2	4
8	2	4
10	2	4
12	2	4
14	2	4
16	2	4
18	2	4
20	2	4
22	2	4
24	2	4
26	2	4
28	2	4
30	2	4
32	2	4
34	2	4
36	2	4
38	2	4
40	2	4
42	2	4
44	2	4
46	2	4
48	2	4
50	2	4
52	2	4
54	2	4
56	2	4
58	2	4
60	2	4
62	2	4
64	2	4
66	2	4
68	2	4
70	2	4
72	2	4
74	2	4
76	2	4
78	2	4
80	2	4
82	2	4
84	2	4
86	2	4
88	2	4
90	2	4
92	2	4
94	2	4
96	2	4
98	2	4
100	2	4
102	2	4
104	2	4
106	2	4
108	2	4
110	2	4
112	2	4
114	2	4
116	2	4
118	2	4
120	2	4
122	2	4
124	2	4
126	2	4
128	2	4
130	2	4
132	2	4
134	2	4
136	2	4
138	2	4
140	2	4
142	2	4
144	2	4
146	2	4
148	2	4
150	2	4
152	2	4
154	2	4
156	2	4
158	2	4
160	2	4
162	2	4
164	2	4
166	2	4
168	2	4
170	2	4
172	2	4
174	2	4
176	2	4
178	2	4
180	2	4
182	2	4
184	2	4
186	2	4
188	2	4
190	2	4
192	2	4
194	2	4
196	2	4
198	2	4
200	2	4
202	2	4
204	2	4
206	2	4
208	2	4
210	2	4
212	2	4
214	2	4
216	2	4
218	2	4
220	2	4
222	2	4
224	2	4
226	2	4
228	2	4
230	2	4
232	2	4
234	2	4
236	2	4
238	2	4
240	2	4
242	2	4
244	2	4
246	2	4
248	2	4
250	2	4
252	2	4
254	2	4
256	2	4
258	2	4
260	2	4
262	2	4
264	2	4
266	2	4
268	2	4
270	2	4
272	2	4
274	2	4
276	2	4
278	2	4
280	2	4
