#	Title	Solfeggi in chiave di violino ad uso delle scuole medie
#	Source Filename	Alberto Marafioti - Solfeggi in chiave di violino ad uso delle scuole medie.xml
0	2	4
2	2	4
4	2	4
6	2	4
8	2	4
10	2	4
12	2	4
14	2	4
16	2	4
18	2	4
20	2	4
22	2	4
24	2	4
26	2	4
28	2	4
30	2	4
32	2	4
34	2	4
36	2	4
38	2	4
40	2	4
42	2	4
44	2	4
46	2	4
48	2	4
50	2	4
52	2	4
54	2	4
56	2	4
58	2	4
60	2	4
62	2	4
64	2	4
66	2	4
68	2	4
70	2	4
72	2	4
74	2	4
76	2	4
78	2	4
80	2	4
82	2	4
84	2	4
86	2	4
88	2	4
90	2	4
92	2	4
94	2	4
96	2	4
98	2	4
100	2	4
102	2	4
104	2	4
106	2	4
108	2	4
110	3	4
113	3	4
116	3	4
119	3	4
122	3	4
125	3	4
128	3	4
131	3	4
134	3	4
137	3	4
140	3	4
143	3	4
146	3	4
149	3	4
152	3	4
155	4	4
159	4	4
163	4	4
167	4	4
171	4	4
175	4	4
179	4	4
183	4	4
187	4	4
191	4	4
195	4	4
199	4	4
203	4	4
207	4	4
211	4	4
215	4	4
219	4	4
223	4	4
227	4	4
231	4	4
235	4	4
239	4	4
243	4	4
247	2	4
249	2	4
251	2	4
253	2	4
255	2	4
257	2	4
259	2	4
261	2	4
263	2	4
265	2	4
267	2	4
269	2	4
271	2	4
273	2	4
275	2	4
277	2	4
279	2	4
281	2	4
283	2	4
285	2	4
287	2	4
289	2	4
291	2	4
293	2	4
295	2	4
297	2	4
299	2	4
301	2	4
303	2	4
305	2	4
307	2	4
309	3	4
312	3	4
315	3	4
318	3	4
321	3	4
324	3	4
327	3	4
330	3	4
333	3	4
336	3	4
339	3	4
342	3	4
345	3	4
348	3	4
351	3	4
354	4	4
358	4	4
362	4	4
366	4	4
370	4	4
374	4	4
378	4	4
382	4	4
386	4	4
390	4	4
394	4	4
398	4	4
402	4	4
406	4	4
410	4	4
414	4	4
418	4	4
422	4	4
426	4	4
430	4	4
434	3	4
437	3	4
440	3	4
443	3	4
446	3	4
449	3	4
452	3	4
455	3	4
458	3	4
461	3	4
464	3	4
467	3	4
470	3	4
473	3	4
476	3	4
479	3	4
482	3	4
485	3	4
488	3	4
491	3	4
494	3	4
497	3	4
500	4	4
504	4	4
508	4	4
512	4	4
516	4	4
520	4	4
524	4	4
528	4	4
532	4	4
536	4	4
540	4	4
544	4	4
548	4	4
552	4	4
556	4	4
560	4	4
564	4	4
568	4	4
572	4	4
576	4	4
580	4	4
584	4	4
588	4	4
592	4	4
596	4	4
600	4	4
604	4	4
608	4	4
