#	Title	Cuckoo waltz
#	Title	Emanuel Jonasson - Cuckoo waltz.xml
1	2	3	4	5
2	3	4	0	5
3	5	6	4	5
4	6	7	0	5
5	8	9	4	5
6	9	10	0	5
7	11	12	7	5
8	12	15	7	5
9	15	16	7	5
10	17	18	4	5
11	18	19	0	5
12	20	21	4	5
13	21	22	0	5
14	23	24	4	5
15	24	25	7	5
16	25	25.5	7	5
17	25.5	26	4	5
18	26	26.5	0	5
19	26.5	27	4	5
20	27	28	2	5
21	29	30	5	5
22	30	31	11	4
23	32	33	2	5
24	33	34	7	4
25	35	36	2	5
26	36	37	5	5
27	37	37.5	5	5
28	37.5	38	2	5
29	38	38.5	11	4
30	38.5	39	2	5
31	39	40	0	5
32	41	42	4	5
33	42	43	0	5
34	44	45	4	5
35	45	46	0	5
36	47	48	4	5
37	48	49	7	5
38	49	49.5	7	5
39	49.5	50	4	5
40	50	50.5	0	5
41	50.5	51	4	5
42	51	52	2	5
43	53	54	5	5
44	54	55	11	4
45	56	57	2	5
46	57	58	7	4
47	59	60	2	5
48	60	61	5	5
49	61	61.5	5	5
50	61.5	62	2	5
51	62	62.5	11	4
52	62.5	63	2	5
53	63	64	0	5
54	65	66	4	5
55	66	67	0	5
56	68	69	4	5
57	69	70	0	5
58	71	72	4	5
59	72	73	7	5
60	73	73.5	7	5
61	73.5	74	4	5
62	74	74.5	0	5
63	74.5	75	4	5
64	75	76	2	5
65	77	78	5	5
66	78	79	11	4
67	80	81	2	5
68	81	82	7	4
69	83	84	2	5
70	84	85	5	5
71	85	85.5	5	5
72	85.5	86	2	5
73	86	86.5	11	4
74	86.5	87	2	5
75	87	88	0	5
76	89	90	4	5
77	90	91	0	5
78	92	93	4	5
79	93	94	0	5
80	95	96	4	5
81	96	97	7	5
82	97	97.5	7	5
83	97.5	98	4	5
84	98	98.5	0	5
85	98.5	99	4	5
86	99	100	2	5
87	101	102	5	5
88	102	103	11	4
89	104	105	2	5
90	105	106	7	4
91	107	108	2	5
92	108	109	5	5
93	109	109.5	5	5
94	109.5	110	2	5
95	110	110.5	11	4
96	110.5	111	2	5
97	111	112	0	5
98	113	114	0	5
99	114	117	9	4
100	117	120	9	4
101	120	120.5	9	4
102	120.5	121	9	4
103	121	121.5	5	4
104	121.5	122	9	4
105	122	122.5	5	4
106	122.5	123	9	4
107	123	123.5	2	5
108	123.5	124	0	5
109	124	124.5	11	4
110	124.5	125	2	5
111	125	125.5	0	5
112	125.5	126	9	4
113	126	127	7	4
114	127	128	4	5
115	128	129	0	5
116	130	131	4	5
117	131	132	0	5
118	133	134	4	5
119	134	135	0	5
120	135	135.5	7	5
121	135.5	136	6	5
122	136	136.5	9	5
123	136.5	137	7	5
124	137	137.5	6	5
125	137.5	138	4	5
126	138	139	2	5
127	139	139.5	11	4
128	139.5	140	7	5
129	140	141	5	5
130	142	142.5	11	4
131	142.5	143	7	5
132	143	144	5	5
133	145	145.5	11	4
134	145.5	146	7	5
135	146	147	5	5
136	147	147.5	7	5
137	147.5	148	6	5
138	148	148.5	9	5
139	148.5	149	7	5
140	149	149.5	6	5
141	149.5	150	2	5
142	151	151.5	9	4
143	151.5	152	7	4
144	152	153	0	5
145	154	154.5	0	5
146	154.5	155	7	4
147	155	156	4	5
148	157	157.5	4	5
149	157.5	158	0	5
150	158	159	7	5
151	160	160.5	7	5
152	160.5	161	4	5
153	161	162	0	5
154	162	165	9	4
155	165	168	9	4
156	168	168.5	9	4
157	168.5	169	9	4
158	169	169.5	5	4
159	169.5	170	9	4
160	170	170.5	5	4
161	170.5	171	9	4
162	171	171.5	2	5
163	171.5	172	0	5
164	172	172.5	11	4
165	172.5	173	2	5
166	173	173.5	0	5
167	173.5	174	9	4
168	174	175	7	4
169	175	176	4	5
170	176	177	0	5
171	178	179	4	5
172	179	180	0	5
173	181	182	4	5
174	182	183	0	5
175	183	183.5	7	5
176	183.5	184	6	5
177	184	184.5	9	5
178	184.5	185	7	5
179	185	185.5	6	5
180	185.5	186	4	5
181	186	187	2	5
182	187	187.5	11	4
183	187.5	188	7	5
184	188	189	5	5
185	190	190.5	11	4
186	190.5	191	7	5
187	191	192	5	5
188	193	193.5	11	4
189	193.5	194	7	5
190	194	195	5	5
191	195	195.5	11	5
192	195.5	196	9	5
193	196	196.5	7	5
194	196.5	197	5	5
195	197	197.5	4	5
196	197.5	198	2	5
197	198	199	0	5
198	200	201	7	4
199	201	202	0	5
200	203	204	4	5
201	207	208	0	5
202	209	210	4	5
203	210	211	0	5
204	212	213	4	4
205	213	214	0	4
206	218	219	11	4
207	219	220	0	5
