#	Title	Summertime
#	Title	George Gershwin - Summertime.xml
1	2	3	4	5
2	3	4	0	5
3	4	8	4	5
4	8	9	4	5
5	9	9.5	2	5
6	9.5	10	0	5
7	10	10.5	2	5
8	10.5	11	4	5
9	11	12	0	5
10	12	14	9	4
11	14	16	4	4
12	16	17	4	4
13	18	19	4	5
14	19	20	0	5
15	20	20.5	2	5
16	20.5	22	2	5
17	22	24	2	5
18	25	25.5	0	5
19	25.5	26	9	4
20	26	26.5	0	5
21	26.5	27	9	4
22	27	28	0	5
23	28	32	11	4
24	32	34	11	4
25	34.5	35.5	4	5
26	35.5	36	0	5
27	36	36.5	4	5
28	36.5	37.5	4	5
29	37.5	38	4	5
30	38	40	4	5
31	41	41.5	2	5
32	41.5	42	0	5
33	42	42.5	2	5
34	42.5	43	4	5
35	43	44	0	5
36	44	46	9	4
37	46	48	4	4
38	48	50	4	4
39	51	52	4	4
40	52	53	7	4
41	53	53.5	4	4
42	53.5	54	7	4
43	54	55	9	4
44	55	56	0	5
45	56	56.5	4	5
46	56.5	58	2	5
47	58	60	0	5
48	60	64	9	4
49	64	65	9	4
50	66	66.6667	4	5
51	66.6667	67.3333	4	5
52	67.3333	68	0	5
53	68	72	4	5
54	72	73	4	5
55	73	73.5	2	5
56	73.5	74	0	5
57	74	74.5	2	5
58	74.5	75	4	5
59	75	76	0	5
60	76	78	9	4
61	78	80	4	4
62	80	81	4	4
63	82	83	4	5
64	83	84	0	5
65	84	84.5	2	5
66	84.5	86	2	5
67	86	88	2	5
68	89	89.5	0	5
69	89.5	90	9	4
70	90	90.5	0	5
71	90.5	91	9	4
72	91	92	0	5
73	92	96	11	4
74	96	98	11	4
75	98.5	99.5	4	5
76	99.5	100	0	5
77	100	100.5	4	5
78	100.5	101.5	4	5
79	101.5	102	4	5
80	102	104	4	5
81	105	105.5	2	5
82	105.5	106	0	5
83	106	106.5	2	5
84	106.5	107	4	5
85	107	108	0	5
86	108	110	9	4
87	110	112	4	4
88	112	114	4	4
89	115	116	4	4
90	116	117	7	4
91	117	117.5	4	4
92	117.5	118	7	4
93	118	119	9	4
94	119	120	0	5
95	120	120.5	4	5
96	120.5	122	2	5
97	122	124	0	5
98	124	128	9	4
99	128	130	9	4
