#	Title	SUMMERTIME
#	Title	George Gershwin, Dubose Hayward - SUMMERTIME.xml
1	2	3	4	5
2	3	4	0	5
3	4	8	4	5
4	8	9	4	5
5	9	9.5	2	5
6	9.5	10	0	5
7	10	10.5	2	5
8	10.5	11	4	5
9	11	12	0	5
10	12	14	9	4
11	14	16	4	4
12	16	17.5	4	4
13	18	19	4	5
14	19	20	0	5
15	20	20.5	2	5
16	20.5	22	2	5
17	22	24	2	5
18	24	25	2	5
19	25	25.5	0	5
20	25.5	26	9	4
21	26	26.5	0	5
22	26.5	27	9	4
23	27	28	0	5
24	28	32	11	4
25	32	33.5	11	4
26	34	35	4	5
27	35	36	0	5
28	36	36.5	4	5
29	36.5	38	4	5
30	38	40	4	5
31	41	41.5	2	5
32	41.5	42	0	5
33	42	42.5	2	5
34	42.5	43	4	5
35	43	44	0	5
36	44	46	9	4
37	46	48	4	4
38	48	50	4	4
39	50	50.5	4	4
40	51	52	4	4
41	52	53	7	4
42	53	53.5	4	4
43	53.5	54	7	4
44	54	55	9	4
45	55	56	0	5
46	56	56.5	4	5
47	56.5	58	2	5
48	58	60	0	5
49	60	64	9	4
50	64	66	9	4
51	66	67	4	5
52	67	68	0	5
53	68	72	4	5
54	72	73	4	5
55	73	73.5	2	5
56	73.5	74	0	5
57	74	74.5	2	5
58	74.5	75	4	5
59	75	76	0	5
60	76	78	9	4
61	78	80	4	4
62	80	81.5	4	4
63	82	83	4	5
64	83	84	0	5
65	84	84.5	2	5
66	84.5	86	2	5
67	86	88	2	5
68	88	89	2	5
69	89	89.5	0	5
70	89.5	90	9	4
71	90	90.5	0	5
72	90.5	91	9	4
73	91	92	0	5
74	92	96	11	4
75	96	97.5	11	4
76	98	99	4	5
77	99	100	0	5
78	100	100.5	4	5
79	100.5	102	4	5
80	102	104	4	5
81	105	105.5	2	5
82	105.5	106	0	5
83	106	106.5	2	5
84	106.5	107	4	5
85	107	108	0	5
86	108	110	9	4
87	110	112	4	4
88	112	114	4	4
89	114	114.5	4	4
90	115	116	4	4
91	116	117	7	4
92	117	117.5	4	4
93	117.5	118	7	4
94	118	119	9	4
95	119	120	0	5
96	120	120.5	4	5
97	120.5	122	2	5
98	122	124	0	5
99	124	128	9	4
100	128	130	9	4
101	130	131	4	5
102	131	132	0	5
