#	Title	Johnson Rag
#	Title	Guy Hall, Henry Kleinkauf, Jack Lawrence - Johnson Rag.xml
1	1.5	2	3	4
2	2	3	4	4
3	3.375	3.5	0	4
4	3.5	3.875	4	4
5	3.875	4	0	4
6	4	4.5	9	3
7	4.5	4.75	8	3
8	4.75	5	7	3
9	5	5.5	7	3
10	5.5	6	3	4
11	6	7	4	4
12	7.375	7.5	0	4
13	7.5	7.875	4	4
14	7.875	8	0	4
15	8	8.5	9	3
16	8.5	8.75	8	3
17	8.75	9	7	3
18	9	9.5	7	3
19	9.5	10	4	4
20	10	11	5	4
21	11.375	11.5	2	4
22	11.5	11.875	5	4
23	11.875	12	2	4
24	12	12.375	5	4
25	12.375	12.5	5	4
26	12.5	12.75	2	4
27	12.75	13	11	3
28	13	13.5	11	3
29	13.5	14	4	4
30	14	15	5	4
31	15.375	15.5	2	4
32	15.5	15.875	5	4
33	15.875	16	2	4
34	16	16.5	3	4
35	16.5	16.75	2	4
36	16.75	17	0	4
37	17	17.5	0	4
38	17.5	18	3	4
39	18	19	4	4
40	19.375	19.5	0	4
41	19.5	19.875	4	4
42	19.875	20	0	4
43	20	20.5	9	3
44	20.5	20.75	8	3
45	20.75	21	7	3
46	21	21.5	7	3
47	21.5	22	3	4
48	22	23	4	4
49	23.375	23.5	0	4
50	23.5	23.875	4	4
51	23.875	24	0	4
52	24	24.5	9	3
53	24.5	24.75	8	3
54	24.75	25	7	3
55	25	25.5	7	3
56	25.5	26	4	4
57	26	27	5	4
58	27.375	27.5	2	4
59	27.5	27.875	5	4
60	27.875	28	2	4
61	28	28.375	5	4
62	28.375	28.5	5	4
63	28.5	28.75	2	4
64	28.75	29	11	3
65	29	29.5	11	3
66	29.5	30	4	4
67	30	31	5	4
68	31.375	31.5	2	4
69	31.5	31.875	5	4
70	31.875	32	2	4
71	32	32.5	3	4
72	32.5	32.75	2	4
73	32.75	33	0	4
74	33	34	0	4
75	34	34.5	2	4
76	34.5	35	0	4
77	35	35.5	2	4
78	35.5	36	0	4
79	36	36.25	2	4
80	36.25	36.75	4	4
81	36.75	37	2	4
82	37	37.75	2	4
83	37.75	38	0	4
84	38	38.5	2	4
85	38.5	39	0	4
86	39	39.25	2	4
87	39.25	39.5	2	4
88	39.5	39.75	5	4
89	39.75	40	2	4
90	40	42	2	4
91	42	42.5	4	4
92	42.5	43	2	4
93	43	43.5	4	4
94	43.5	44	2	4
95	44	44.25	4	4
96	44.25	44.75	6	4
97	44.75	45	4	4
98	45	45.75	4	4
99	45.75	46	2	4
100	46	46.25	7	4
101	46.25	46.5	7	4
102	46.5	46.75	6	4
103	46.75	47	5	4
104	47	47.5	5	4
105	47.5	47.75	1	4
106	47.75	48	4	4
107	48	48.25	4	4
108	48.25	48.5	4	4
109	48.5	48.75	3	4
110	48.75	49	2	4
111	49	49.5	2	4
112	49.5	50	3	4
113	50	51	4	4
114	51.375	51.5	0	4
115	51.5	51.875	4	4
116	51.875	52	0	4
117	52	52.5	9	3
118	52.5	52.75	8	3
119	52.75	53	7	3
120	53	53.5	7	3
121	53.5	54	3	4
122	54	55	4	4
123	55.375	55.5	0	4
124	55.5	55.875	4	4
125	55.875	56	0	4
126	56	56.5	9	3
127	56.5	56.75	8	3
128	56.75	57	7	3
129	57	57.5	7	3
130	57.5	58	4	4
131	58	59	5	4
132	59.375	59.5	2	4
133	59.5	59.875	5	4
134	59.875	60	2	4
135	60	60.375	5	4
136	60.375	60.5	5	4
137	60.5	60.75	2	4
138	60.75	61	11	3
139	61	61.5	11	3
140	61.5	61.75	4	4
141	61.75	62	5	4
142	62	62.25	5	4
143	62.25	62.5	2	4
144	62.5	62.75	4	4
145	62.75	63	5	4
146	63	63.25	5	4
147	63.25	63.5	2	4
148	63.5	63.75	5	4
149	63.75	64	2	4
150	64	64.5	3	4
151	64.5	64.75	2	4
152	64.75	65	0	4
153	65	65.5	0	4
