#	Title	Moonlight Savings Time
#	Title	Harry Richman, Irving Kahal - Moonlight Savings Time.xml
1	1.75	2	3	4
2	2	2.375	4	4
3	2.375	2.5	9	4
4	2.5	2.875	7	4
5	2.875	3	4	4
6	3	3.5	11	3
7	3.5	4	11	3
8	4	4.25	9	3
9	4.25	4.75	9	3
10	4.75	5	11	3
11	5	5.5	11	3
12	5.75	6	7	3
13	6	6.5	9	3
14	6.5	7	9	3
15	7	7.5	11	3
16	7.5	8	11	3
17	8	8.25	9	3
18	8.25	8.75	9	3
19	8.75	9	11	3
20	9	9.5	11	3
21	9.75	10	7	3
22	10	10.5	9	3
23	10.5	11	9	3
24	11	11.5	2	4
25	11.5	12	2	4
26	12	12.25	9	3
27	12.25	12.75	10	3
28	12.75	13	11	3
29	13	13.5	11	3
30	13.5	14	7	3
31	14	14.5	9	3
32	14.5	16	4	4
33	17.75	18	3	4
34	18	18.375	4	4
35	18.375	18.5	9	4
36	18.5	18.875	7	4
37	18.875	19	4	4
38	19	19.5	11	3
39	19.5	20	11	3
40	20	20.25	9	3
41	20.25	20.75	9	3
42	20.75	21	11	3
43	21	21.5	11	3
44	21.75	22	7	3
45	22	22.5	9	3
46	22.5	23	9	3
47	23	23.5	11	3
48	23.5	24	11	3
49	24	24.25	9	3
50	24.25	24.75	9	3
51	24.75	25	11	3
52	25	25.5	11	3
53	25.75	26	7	3
54	26	26.5	9	3
55	26.5	27	9	3
56	27	27.5	2	4
57	27.5	28	2	4
58	28	28.25	9	3
59	28.25	28.75	10	3
60	28.75	29	11	3
61	29	29.5	11	3
62	29.5	30	7	3
63	30	30.5	9	3
64	30.5	32	0	4
65	32.5	33	0	4
66	33	33.5	2	4
67	33.5	34	3	4
68	34	34.375	4	4
69	34.375	34.5	7	4
70	34.5	35	4	4
71	35	35.375	2	4
72	35.375	35.5	7	4
73	35.5	36	2	4
74	36	36.375	0	4
75	36.375	36.5	1	4
76	36.5	36.875	2	4
77	36.875	37	3	4
78	37	37.375	4	4
79	37.375	37.5	7	4
80	37.5	38	4	4
81	38	40	2	4
82	40.5	41	2	4
83	41	41.5	4	4
84	41.5	42	5	4
85	42	42.375	6	4
86	42.375	42.5	9	4
87	42.5	43	6	4
88	43	43.375	4	4
89	43.375	43.5	9	4
90	43.5	44	4	4
91	44	44.375	2	4
92	44.375	44.5	3	4
93	44.5	44.875	4	4
94	44.875	45	5	4
95	45	45.375	6	4
96	45.375	45.5	4	4
97	45.5	46	2	4
98	46.5	46.75	9	4
99	46.75	47	7	4
100	47	47.25	7	4
101	47.25	47.5	5	4
102	47.5	48	2	4
103	48	49	9	3
104	49	49.5	11	3
105	49.75	50	3	4
106	50	50.375	4	4
107	50.375	50.5	9	4
108	50.5	50.875	7	4
109	50.875	51	4	4
110	51	51.5	11	3
111	51.5	52	11	3
112	52	52.25	9	3
113	52.25	52.75	9	3
114	52.75	53	11	3
115	53	53.5	11	3
116	53.75	54	7	3
117	54	54.5	9	3
118	54.5	55	9	3
119	55	55.5	11	3
120	55.5	56	11	3
121	56	56.25	9	3
122	56.25	56.75	9	3
123	56.75	57	11	3
124	57	57.5	11	3
125	57.75	58	7	3
126	58	58.5	9	3
127	58.5	59	9	3
128	59	59.5	10	3
129	59.5	60	10	3
130	60	60.25	11	3
131	60.25	60.75	11	3
132	60.75	61	7	4
133	61	61.5	7	4
134	61.5	62	4	4
135	62	64	2	4
136	64	65	0	4
137	65.75	66	3	4
138	66	66.375	4	4
139	66.375	66.5	9	4
140	66.5	66.875	7	4
141	66.875	67	4	4
142	67	67.5	11	3
143	67.5	68	11	3
144	68	68.25	9	3
145	68.25	68.75	9	3
146	68.75	69	11	3
147	69	69.5	11	3
148	69.75	70	7	3
149	70	70.5	9	3
150	70.5	71	9	3
151	71	71.5	11	3
152	71.5	72	11	3
153	72	72.25	9	3
154	72.25	72.75	9	3
155	72.75	73	11	3
156	73	73.5	11	3
157	73.75	74	7	3
158	74	74.5	9	3
159	74.5	75	9	3
160	75	75.5	2	4
161	75.5	76	2	4
162	76	76.25	9	3
163	76.25	76.75	10	3
164	76.75	77	11	3
165	77	77.5	11	3
166	77.5	78	7	3
167	78	78.5	9	3
168	78.5	80	4	4
169	81.75	82	3	4
170	82	82.375	4	4
171	82.375	82.5	9	4
172	82.5	82.875	7	4
173	82.875	83	4	4
174	83	83.5	11	3
175	83.5	84	11	3
176	84	84.25	9	3
177	84.25	84.75	9	3
178	84.75	85	11	3
179	85	85.5	11	3
180	85.75	86	7	3
181	86	86.5	9	3
182	86.5	87	9	3
183	87	87.5	11	3
184	87.5	88	11	3
185	88	88.25	9	3
186	88.25	88.75	9	3
187	88.75	89	11	3
188	89	89.5	11	3
189	89.75	90	7	3
190	90	90.5	9	3
191	90.5	91	9	3
192	91	91.5	2	4
193	91.5	92	2	4
194	92	92.25	9	3
195	92.25	92.75	10	3
196	92.75	93	11	3
197	93	93.5	11	3
198	93.5	94	7	3
199	94	94.5	9	3
200	94.5	96	0	4
201	96.5	97	0	4
202	97	97.5	2	4
203	97.5	98	3	4
204	98	98.375	4	4
205	98.375	98.5	7	4
206	98.5	99	4	4
207	99	99.375	2	4
208	99.375	99.5	7	4
209	99.5	100	2	4
210	100	100.375	0	4
211	100.375	100.5	1	4
212	100.5	100.875	2	4
213	100.875	101	3	4
214	101	101.375	4	4
215	101.375	101.5	7	4
216	101.5	102	4	4
217	102	104	2	4
218	104.5	105	2	4
219	105	105.5	4	4
220	105.5	106	5	4
221	106	106.375	6	4
222	106.375	106.5	9	4
223	106.5	107	6	4
224	107	107.375	4	4
225	107.375	107.5	9	4
226	107.5	108	4	4
227	108	108.375	2	4
228	108.375	108.5	3	4
229	108.5	108.875	4	4
230	108.875	109	5	4
231	109	109.375	6	4
232	109.375	109.5	4	4
233	109.5	110	2	4
234	110.5	110.75	9	4
235	110.75	111	7	4
236	111	111.25	7	4
237	111.25	111.5	5	4
238	111.5	112	2	4
239	112	113	9	3
240	113	113.5	11	3
241	113.75	114	3	4
242	114	114.375	4	4
243	114.375	114.5	9	4
244	114.5	114.875	7	4
245	114.875	115	4	4
246	115	115.5	11	3
247	115.5	116	11	3
248	116	116.25	9	3
249	116.25	116.75	9	3
250	116.75	117	11	3
251	117	117.5	11	3
252	117.75	118	7	3
253	118	118.5	9	3
254	118.5	119	9	3
255	119	119.5	11	3
256	119.5	120	11	3
257	120	120.25	9	3
258	120.25	120.75	9	3
259	120.75	121	11	3
260	121	121.5	11	3
261	121.75	122	7	3
262	122	122.5	9	3
263	122.5	123	9	3
264	123	123.5	10	3
265	123.5	124	10	3
266	124	124.25	11	3
267	124.25	124.75	11	3
268	124.75	125	7	4
269	125	125.5	7	4
270	125.5	126	4	4
271	126	128	2	4
272	128	129.5	0	4
