#	Title	Tiny Bubbles
#	Title	Leon Pober - Tiny Bubbles.xml
1	2	3	4	5
2	3	4	2	5
3	4	5	0	5
4	5	8	7	4
5	8	10	7	4
6	10	11	5	5
7	11	12	4	5
8	12	16	2	5
9	16	18	2	5
10	18	19	2	5
11	19	20	0	5
12	20	21	11	4
13	21	24	7	4
14	24	26	7	4
15	26	26.5	4	5
16	26.5	27	4	5
17	27	28	2	5
18	28	32	0	5
19	32	33	0	5
20	34	35	4	5
21	35	36	2	5
22	36	37	0	5
23	37	40	7	4
24	40	41	7	4
25	41	41.5	0	5
26	41.5	42	0	5
27	42	43	2	5
28	43	44	4	5
29	44	46	5	5
30	46	48	9	4
31	48	49	9	4
32	50	51	0	5
33	51	52	2	5
34	52	52.5	4	5
35	52.5	53	4	5
36	53	53.5	7	5
37	53.5	54	7	5
38	54	55	4	5
39	55	56	0	5
40	56	56.5	11	4
41	56.5	57	11	4
42	57	57.5	7	4
43	57.5	58	7	4
44	58	59	4	5
45	59	60	2	5
46	60	64	0	5
47	64	67	0	5
48	67	68	0	5
49	68	69	9	4
50	69	69.5	9	4
51	69.5	70	9	4
52	70	71	0	5
53	71	72	0	5
54	72	75	5	5
55	75	76	9	4
56	76	77	7	4
57	77	77.5	7	4
58	77.5	78	7	4
59	78	79	0	5
60	79	80	0	5
61	80	83	4	5
62	83	84	5	5
63	84	85	6	5
64	85	86	4	5
65	86	87.5	2	5
66	87.5	88	1	5
67	88	89	0	5
68	89	90	9	4
69	90	91	4	5
70	91	92	3	5
71	92	96	2	5
72	96	97	2	5
73	98	99	4	5
74	99	100	2	5
75	100	101	0	5
76	101	104	7	4
77	104	106	7	4
78	106	107	5	5
79	107	108	4	5
80	108	112	2	5
81	112	114	2	5
82	114	115	2	5
83	115	116	0	5
84	116	117	11	4
85	117	120	7	4
86	120	122	7	4
87	122	122.5	4	5
88	122.5	123	4	5
89	123	124	2	5
90	124	128	0	5
91	128	129	0	5
92	130	131	4	5
93	131	132	2	5
94	132	133	0	5
95	133	136	7	4
96	136	137	7	4
97	137	137.5	0	5
98	137.5	138	0	5
99	138	139	2	5
100	139	140	4	5
101	140	142	5	5
102	142	144	9	4
103	144	145	9	4
104	146	147	0	5
105	147	148	2	5
106	148	148.5	4	5
107	148.5	149	4	5
108	149	149.5	7	5
109	149.5	150	7	5
110	150	151	4	5
111	151	152	0	5
112	152	152.5	11	4
113	152.5	153	11	4
114	153	153.5	7	4
115	153.5	154	7	4
116	154	155	4	5
117	155	156	2	5
118	156	160	0	5
119	160	162	0	5
