#	Title	I Could Write a Book
#	Title	Richard Rodgers, Lorenz Hart - I Could Write a Book.xml
1	2	3	4	5
2	3	4	5	5
3	4	6	7	5
4	6	8	11	5
5	8	9	9	5
6	9	10	7	5
7	10	11	4	5
8	11	12	2	5
9	12	14	4	5
10	14	16	4	5
11	16	17	4	5
12	17	18	7	5
13	18	19	4	5
14	19	20	2	5
15	20	21	4	5
16	21	22	7	5
17	22	23	4	5
18	23	24	2	5
19	24	25	4	5
20	25	27	0	6
21	27	28	4	5
22	28	32	7	5
23	32	34	7	5
24	34	35	9	5
25	35	36	11	5
26	36	38	0	6
27	38	40	0	6
28	40	41	0	6
29	41	43	2	6
30	43	44	11	5
31	44	46	9	5
32	46	48	9	5
33	48	50	7	5
34	50	51	4	5
35	51	52	6	5
36	52	54	7	5
37	54	56	7	5
38	56	57	7	5
39	57	59	9	5
40	59	60	6	5
41	60	64	7	5
42	64	65	7	5
43	66	67	4	5
44	67	68	5	5
45	68	70	7	5
46	70	72	11	5
47	72	73	9	5
48	73	74	7	5
49	74	75	4	5
50	75	76	2	5
51	76	78	4	5
52	78	80	4	5
53	80	81	4	5
54	81	82	7	5
55	82	83	4	5
56	83	84	2	5
57	84	85	4	5
58	85	86	7	5
59	86	87	4	5
60	87	88	2	5
61	88	89	4	5
62	89	91	0	6
63	91	92	4	5
64	92	96	7	5
65	96	98	7	5
66	98	99	9	5
67	99	100	11	5
68	100	102	0	6
69	102	104	0	6
70	104	105	0	6
71	105	107	2	6
72	107	108	11	5
73	108	110	10	5
74	110	112	10	5
75	112	114	9	5
76	114	115	7	5
77	115	116	5	5
78	116	118	4	5
79	118	120	4	5
80	120	121	2	5
81	121	123	0	6
82	123	124	11	5
83	124	128	0	6
84	130	131	4	5
85	131	132	5	5
