#	Title	Alejandro
#	Source Filename	Stefani Germanotta & RedOne - Alejandro.xml
0	2	4
2	2	4
4	2	4
6	2	4
8	2	4
10	2	4
12	2	4
14	3	4
17	3	4
20	3	4
23	3	4
26	3	4
29	3	4
32	3	4
35	4	4
39	4	4
43	4	4
47	4	4
51	4	4
55	4	4
59	4	4
63	4	4
67	4	4
71	4	4
75	4	4
79	4	4
83	4	4
87	4	4
91	4	4
95	4	4
99	4	4
103	4	4
107	4	4
111	4	4
115	4	4
119	4	4
123	4	4
127	4	4
131	4	4
135	4	4
139	4	4
143	4	4
147	4	4
151	4	4
155	4	4
159	4	4
163	4	4
167	4	4
171	4	4
175	4	4
179	4	4
183	4	4
187	4	4
191	4	4
195	4	4
199	4	4
203	4	4
207	4	4
211	4	4
215	4	4
219	4	4
223	4	4
227	4	4
231	4	4
235	4	4
239	4	4
243	4	4
247	4	4
251	4	4
255	4	4
259	4	4
263	4	4
267	4	4
271	4	4
275	4	4
279	4	4
283	4	4
287	4	4
291	4	4
295	4	4
299	4	4
303	4	4
307	4	4
311	4	4
315	4	4
319	4	4
323	4	4
327	4	4
331	4	4
335	4	4
339	4	4
343	4	4
347	4	4
351	4	4
355	4	4
359	4	4
363	4	4
367	4	4
371	4	4
375	4	4
379	4	4
383	4	4
387	4	4
391	4	4
395	4	4
399	4	4
403	4	4
407	4	4
411	4	4
415	4	4
419	4	4
423	4	4
427	4	4
431	4	4
435	4	4
