#	Title	Neapolitan Love Song
#	Source Filename	Victor Herbert, Henry Blossom - Neapolitan Love Song.xml
0	2	4
2	2	4
4	2	4
6	2	4
8	2	4
10	2	4
12	2	4
14	2	4
16	2	4
18	2	4
20	2	4
22	2	4
24	2	4
26	2	4
28	2	4
30	2	4
32	2	4
34	2	4
36	2	4
38	2	4
40	2	4
42	2	4
44	2	4
46	2	4
48	2	4
50	2	4
52	2	4
54	2	4
56	2	4
58	2	4
60	2	4
62	2	4
64	2	4
66	2	4
68	6	8
74	6	8
80	6	8
86	6	8
92	6	8
98	6	8
104	6	8
110	6	8
116	6	8
122	6	8
128	6	8
134	6	8
140	6	8
146	6	8
152	6	8
158	6	8
164	6	8
170	6	8
176	6	8
182	6	8
188	6	8
194	6	8
200	6	8
206	6	8
212	2	4
214	2	4
216	2	4
218	2	4
220	2	4
222	2	4
224	2	4
