1	2	3	#
2	3	4	3
3	4	6	5
4	6	8	0
5	8	9	-1
6	9	11	-4
7	11	12	-7
8	12	14	9
9	14	15	0
10	15	16	0
11	16	17	-2
12	17	19	-3
13	19	20	-4
14	20	22	5
15	22	24	0
16	24	25	-1
17	25	26	-2
18	26	27	-2
19	27	28	2
20	28	32	2
21	32	34	0
22	34	35	0
23	35	36	3
24	36	38	5
25	38	40	0
26	40	41	-1
27	41	43	-4
28	43	44	-7
29	44	46	9
30	46	47	0
31	47	48	0
32	48	49	-2
33	49	51	-3
34	51	52	-4
35	52	54	5
36	54	56	0
37	56	57	-1
38	57	58	-2
39	58	59	-2
40	59	60	2
41	60	64	-2
42	64	66	0
43	67	68	0
44	68	68.5	9
45	68.5	69	-4
46	69	70	2
47	70	71	2
48	71	72	0
49	72	74	0
50	75	76	3
51	76	76.5	-5
52	76.5	77	-3
53	77	78	1
54	78	79	2
55	79	80	0
56	80	82	-3
57	83	84	-4
58	84	84.5	9
59	84.5	85	-4
60	85	86	2
61	86	87	2
62	87	88	0
63	88	92	3
64	92	95	0
65	95	95.5	-3
66	95.5	96	2
67	96	97	1
68	97	97.5	-1
69	97.5	98	1
70	98	99	-1
71	99	100	-2
72	100	102	-7
73	102	103	2
74	103	104	3
75	104	106	5
76	106	108	0
77	108	109	-1
78	109	111	-4
79	111	112	-7
80	112	114	9
81	114	115	0
82	115	116	0
83	116	117	-2
84	117	119	-3
85	119	120	-4
86	120	122	5
87	122	124	0
88	124	125	-1
89	125	126	-2
90	126	127	-2
91	127	128	2
92	128	132	-2
93	132	136	0
94	146	148	4
95	148	149	0
96	149	150	-2
97	150	152	0
98	152	154	0
99	154	156	3
100	156	157	0
101	157	158	-1
102	158	160	0
103	160	162	0
104	162	164	3
105	164	165	0
106	165	166	-2
107	166	168	0
108	168	170	0
109	170	172	4
110	172	176	-2
111	176	178	0
112	178	180	5
113	180	181	0
114	181	182	-3
115	182	184	-4
116	184	186	0
117	186	188	4
118	188	189	-2
119	189	190	-3
120	190	192	-4
121	192	194	0
122	194	196	4
123	196	197	0
124	197	198	-2
125	198	200	0
126	200	202	0
127	202	204	2
128	204	208	-2
129	208	210	0
130	210	212	2
131	212	213	0
132	213	214	-2
133	214	216	0
134	216	218	0
135	218	220	3
136	220	221	0
137	221	222	-1
138	222	224	0
139	224	226	0
140	226	228	3
141	228	229	0
142	229	230	-2
143	230	232	0
144	232	234	0
145	234	236	4
146	236	240	-2
147	240	242	0
148	242	244	5
149	244	245	0
150	245	246	-3
151	246	248	-4
152	248	250	0
153	250	252	4
154	252	253	-2
155	253	254	-3
156	254	256	-4
157	256	258	0
158	258	260	4
159	260	261	1
160	261	262	4
161	262	264	3
162	264	266	0
163	266	268	2
164	268	272	-2
165	282	283	-5
166	283	284	0
167	284	286	5
168	286	287	-5
169	287	288	5
170	288	290	4
171	290	291	-4
172	291	292	9
173	292	296	-2
174	296	298	0
175	298	299	-12
176	299	300	10
177	300	302	-1
178	302	303	-9
179	303	304	9
180	304	306	-2
181	306	307	-7
182	307	308	7
183	308	312	-2
184	312	314	0
185	314	315	-5
186	315	316	0
187	316	318	5
188	318	319	-5
189	319	320	5
190	320	322	4
191	322	323	-4
192	323	324	9
193	324	328	-2
194	328	330	0
195	330	331	-12
196	331	332	10
197	332	334	-1
198	334	335	-9
199	335	336	9
200	336	338	-2
201	338	339	-7
202	339	340	7
203	340	344	-2
204	344	348	0
205	348	350	4
206	350	351	-5
207	351	352	1
208	352	354	2
209	354	355	2
210	355	356	1
211	356	358	-1
212	358	359	-7
213	359	360	2
214	360	362	1
215	362	363	2
216	363	364	2
217	364	366	-2
218	366	368	5
219	368	370	-10
220	370	372	7
221	372	376	-2
222	376	378	0
223	378	379	-7
224	379	380	0
225	380	382	5
226	382	383	-5
227	383	384	5
228	384	386	4
229	386	387	-4
230	387	388	9
231	388	392	-2
232	392	394	0
233	394	395	-7
234	395	396	5
235	396	398	-1
236	398	399	-9
237	399	400	9
238	400	402	-2
239	402	403	7
240	403	404	-2
241	404	408	-7
242	408	410	0
